CTYNAME,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015
Alabama,4785161,4801108,4816089,4830533,4846411,4858979
Autauga County,54660,55253,55175,55038,55290,55347
Baldwin County,183193,186659,190396,195126,199713,203709
Barbour County,27341,27226,27159,26973,26815,26489
Bibb County,22861,22733,22642,22512,22549,22583
Blount County,57373,57711,57776,57734,57658,57673
Bullock County,10887,10629,10606,10628,10829,10696
Butler County,20944,20673,20408,20261,20276,20154
Calhoun County,118437,117768,117286,116575,115993,115620
Chambers County,34098,33993,34075,34153,34052,34123
Cherokee County,25976,26080,26023,26084,25995,25859
Chilton County,43665,43739,43697,43795,43921,43943
Choctaw County,13841,13593,13543,13378,13289,13170
Clarke County,25767,25570,25144,25116,24847,24675
Clay County,13880,13670,13456,13467,13538,13555
Cleburne County,14973,14971,14921,15028,15072,15018
Coffee County,50177,50448,51173,50755,50831,51211
Colbert County,54514,54443,54472,54471,54480,54354
Conecuh County,13208,13121,12996,12875,12662,12672
Coosa County,11758,11348,11195,11059,10807,10724
Covington County,37796,38060,37818,37830,37888,37835
Crenshaw County,13853,13896,13951,13932,13948,13963
Cullman County,80473,80469,80374,80756,81221,82005
Dale County,50358,50109,50324,49833,49501,49565
Dallas County,43803,43178,42777,42021,41662,41131
DeKalb County,71142,71387,70942,70869,71012,71130
Elmore County,79465,80012,80432,80883,81022,81468
Escambia County,38309,38213,38034,37857,37784,37789
Etowah County,104442,104236,104235,103852,103452,103057
Fayette County,17231,17062,16960,16857,16842,16759
Franklin County,31734,31729,31648,31507,31592,31696
Geneva County,26795,26832,27006,26752,26707,26777
Greene County,9001,8910,8835,8706,8553,8479
Hale County,15735,15364,15401,15316,15131,15068
Henry County,17292,17407,17249,17206,17176,17221
Houston County,101783,102422,103355,103610,104110,104173
Jackson County,53179,53264,53064,52921,52631,52419
Jefferson County,658116,657779,657704,658913,660368,660367
Lamar County,14495,14292,14252,14187,14050,13886
Lauderdale County,92747,92618,92680,92729,93063,92596
Lawrence County,34305,34045,33776,33567,33426,33115
Lee County,140782,144087,147899,151506,154426,156993
Limestone County,83163,85557,87321,88870,90612,91663
Lowndes County,11275,11119,10852,10725,10555,10458
Macon County,21545,21269,20479,19852,19387,19105
Madison County,336138,339574,342696,346720,350112,353089
Marengo County,20942,20708,20449,20210,20136,20028
Marion County,30800,30727,30515,30278,30246,30168
Marshall County,93146,93906,94228,94377,94356,94725
Mobile County,413332,413062,413750,414121,414926,415395
Monroe County,22982,22776,22585,22154,21897,21673
Montgomery County,229723,231496,229286,227000,226389,226519
Morgan County,119603,119945,120112,119654,119656,119565
Perry County,10540,10510,10180,9993,9855,9652
Pickens County,19716,19359,19355,19365,20339,20864
Pike County,32957,32903,33105,33630,33090,33046
Randolph County,22891,22802,22628,22630,22486,22696
Russell County,53297,54869,57771,59497,59712,59660
St. Clair County,83812,84317,85160,86210,86561,87074
Shelby County,196048,197985,200830,203925,206199,208713
Sumter County,13740,13508,13451,13402,13243,13103
Talladega County,82071,81821,81931,81314,81258,80862
Tallapoosa County,41502,41453,41163,41191,41112,40844
Tuscaloosa County,194977,196638,198543,200615,202519,203976
Walker County,67004,66641,66184,65929,65567,65294
Washington County,17610,17336,17115,16869,16863,16804
Wilcox County,11557,11488,11365,11210,11052,11059
Winston County,24401,24340,24176,24154,24101,23877
Arizona,6408208,6468732,6553262,6630799,6728783,6828065
Apache County,71766,72387,72946,71953,71858,71474
Cochise County,131809,132996,131888,129605,127321,126427
Coconino County,134626,134182,135978,136612,137637,139097
Gila County,53544,53473,53031,53025,53139,53159
Graham County,37137,37081,36946,37386,37958,37666
Greenlee County,8339,8589,8768,8908,9323,9529
La Paz County,20446,20479,20351,20377,20314,20152
Maricopa County,3825597,3871957,3945460,4015328,4090022,4167947
Mohave County,200374,202671,203232,202839,203331,204737
Navajo County,107715,107429,107033,107424,108119,108277
Pima County,981870,988024,992973,997418,1004244,1010025
Pinal County,379384,378044,382349,385360,396521,406584
Santa Cruz County,47410,47657,47464,47120,46661,46461
Yavapai County,211122,211135,212468,215271,218852,222255
Yuma County,197069,202628,202375,202173,203483,204275
Arkansas,2922394,2938538,2949499,2957957,2966835,2978204
Arkansas County,19014,18883,18984,18791,18564,18433
Ashley County,21831,21651,21491,21238,20926,20838
Baxter County,41538,41273,41066,40965,40842,41053
Benton County,223010,227899,232973,237580,242868,249672
Boone County,36897,37045,37328,37387,37152,37222
Bradley County,11486,11450,11280,11145,11061,11094
Calhoun County,5338,5286,5306,5214,5188,5229
Carroll County,27544,27449,27575,27725,27722,27704
Chicot County,11793,11680,11479,11360,11217,11027
Clark County,22947,22944,22811,22666,22699,22633
Clay County,16050,15829,15573,15312,15176,15109
Cleburne County,25999,25924,25807,25695,25664,25467
Cleveland County,8686,8664,8611,8538,8424,8311
Columbia County,24747,24685,24427,24305,24102,24114
Conway County,21244,21147,21205,21151,21030,21019
Craighead County,96724,98390,99953,101678,102671,104354
Crawford County,61980,61830,61916,61622,61670,61703
Crittenden County,50948,50514,50050,49738,49558,48963
Cross County,17832,17739,17646,17479,17187,17284
Dallas County,8068,8080,7979,7922,7757,7604
Desha County,12964,12702,12562,12450,12215,11965
Drew County,18656,18715,18770,18708,18729,18778
Faulkner County,114057,116308,118566,119409,120878,121552
Franklin County,18128,17994,17946,17924,17766,17702
Fulton County,12216,12289,12248,12242,12139,12204
Garland County,96128,96603,96798,97006,97185,97177
Grant County,17890,17958,18037,18059,18115,18102
Greene County,42188,42733,43168,43082,43729,44196
Hempstead County,22602,22513,22359,22408,22317,22084
Hot Spring County,33128,33033,33373,33413,33333,33426
Howard County,13799,13819,13687,13507,13460,13300
Independence County,36806,36831,36937,36879,37061,37052
Izard County,13684,13578,13516,13374,13488,13445
Jackson County,18049,17848,17639,17655,17503,17338
Jefferson County,77323,76024,74617,73159,72377,71565
Johnson County,25553,25689,25901,25905,26013,26141
Lafayette County,7636,7541,7441,7245,7128,6996
Lawrence County,17501,17285,17040,17058,16985,16779
Lee County,10374,10270,10153,9969,9787,9650
Lincoln County,14074,14332,14147,14029,13982,13820
Little River County,13137,12955,12910,12734,12531,12472
Logan County,22315,22285,22007,22078,21919,21714
Lonoke County,68711,69437,70102,70783,71488,71645
Madison County,15693,15689,15631,15701,15722,15767
Marion County,16660,16652,16613,16440,16401,16185
Miller County,43540,43746,43637,43430,43537,43908
Mississippi County,46389,46039,45550,44711,44282,43738
Monroe County,8123,8065,7838,7663,7598,7399
Montgomery County,9491,9386,9322,9216,9089,8970
Nevada County,8974,9008,8908,8788,8703,8558
Newton County,8329,8277,8086,8076,7910,7913
Ouachita County,26076,25718,25393,24960,24789,24358
Perry County,10455,10394,10336,10340,10239,10189
Phillips County,21668,21401,20753,20388,19901,19513
Pike County,11271,11236,11263,11116,10995,10824
Poinsett County,24524,24431,24279,24150,24150,24040
Polk County,20668,20561,20437,20353,20254,20216
Pope County,62108,62629,62601,62483,63047,63390
Prairie County,8715,8579,8460,8366,8315,8291
Pulaski County,383628,386827,388984,391352,392490,392664
Randolph County,17966,17977,17854,17624,17550,17469
St. Francis County,28182,27961,27898,27300,26977,26589
Saline County,107675,109918,111755,114284,115750,117460
Scott County,11270,11244,11007,10905,10683,10513
Searcy County,8180,8069,7991,7981,7916,7869
Sebastian County,125784,126916,127453,127225,126990,127780
Sevier County,17141,17176,17168,17317,17388,17290
Sharp County,17279,17277,17066,17098,16923,16912
Stone County,12393,12558,12604,12490,12450,12456
Union County,41556,41358,40868,40620,40175,40144
Van Buren County,17307,17199,17168,16994,16880,16771
Washington County,204026,207882,211637,216480,220682,225477
White County,77333,78133,78680,78685,78643,79161
Woodruff County,7240,7189,7066,7037,6884,6741
Yell County,22155,21939,21809,21797,21916,21713
California,37334079,37700034,38056055,38414128,38792291,39144818
Alameda County,1513754,1533052,1556952,1583845,1612850,1638215
Alpine County,1159,1111,1126,1144,1107,1110
Amador County,37873,37538,37099,36591,36744,37001
Butte County,219977,220019,221205,222154,224033,225411
Calaveras County,45464,45101,44755,44574,44575,44828
Colusa County,21446,21389,21370,21389,21351,21482
Contra Costa County,1052921,1066636,1079290,1095959,1111710,1126745
Del Norte County,28566,28468,28201,27821,27194,27254
El Dorado County,181148,180905,180579,181480,183050,184452
Fresno County,932462,940971,947713,955217,964983,974861
Glenn County,28110,28199,27955,27943,28030,28017
Humboldt County,135026,135267,134703,134640,134831,135727
Imperial County,174750,176372,177557,177579,179332,180191
Inyo County,18513,18399,18405,18403,18396,18260
Kern County,841682,849949,856576,865787,874190,882176
Kings County,152367,151969,151201,150748,150108,150965
Lake County,64744,64264,63974,63803,64156,64591
Lassen County,34839,34298,33674,32176,31732,31345
Los Angeles County,9826009,9896602,9970436,10045175,10109436,10170292
Madera County,151125,152089,152160,152125,154562,154998
Marin County,252903,255403,256021,258552,260550,261221
Mariposa County,18260,18191,17855,17734,17636,17531
Mendocino County,87811,87495,87522,87373,87683,87649
Merced County,256832,259784,261788,263312,266087,268455
Modoc County,9697,9497,9333,9110,9015,8965
Mono County,14246,14405,14322,14037,14057,13909
Monterey County,416413,421466,426441,429109,431293,433898
Napa County,136810,137998,139055,140413,141551,142456
Nevada County,98777,98779,98288,98142,98763,98877
Orange County,3017866,3056084,3089343,3120180,3144961,3169776
Placer County,350234,356832,361215,366858,371105,375391
Plumas County,19918,19684,19326,18841,18570,18409
Riverside County,2202286,2237433,2267556,2295816,2328329,2361026
Sacramento County,1422010,1435548,1448466,1462338,1481474,1501335
San Benito County,55557,56197,56885,57605,58308,58792
San Bernardino County,2041642,2064200,2079526,2091599,2110386,2128133
San Diego County,3104386,3142256,3184358,3223645,3265700,3299521
San Francisco County,805813,816231,829517,840715,852537,864816
San Joaquin County,687442,695432,701464,704654,715114,726106
San Luis Obispo County,269905,271208,274552,276308,279116,281401
San Mateo County,719973,729435,740645,750109,758333,765135
Santa Barbara County,424379,426131,430873,436248,441228,444769
Santa Clara County,1786844,1814205,1841318,1871140,1896040,1918044
Santa Cruz County,263266,264971,266597,269277,271401,274146
Shasta County,177317,177969,178421,179041,179747,179533
Sierra County,3221,3105,3075,3035,2979,2967
Siskiyou County,44940,44672,44148,43635,43465,43554
Solano County,414062,416754,420360,424770,430791,436092
Sonoma County,484791,487778,490746,495046,499674,502146
Stanislaus County,515334,518282,522097,526119,531951,538388
Sutter County,94802,94659,94479,95032,95604,96463
Tehama County,63593,63285,63222,62984,62961,63308
Trinity County,13764,13723,13508,13436,13128,13069
Tulare County,443081,447615,451218,454208,457260,459863
Tuolumne County,55185,54746,54129,53940,53872,53709
Ventura County,825298,831130,835416,840964,846119,850536
Yolo County,201129,202283,205093,206958,209250,213016
Yuba County,72357,72570,72946,73292,73883,74492
Colorado,5048254,5119480,5191731,5271132,5355588,5456574
Adams County,443680,452204,460728,470590,481169,491337
Alamosa County,15926,16127,16136,16266,16318,16496
Arapahoe County,574727,586033,596383,608403,619634,631096
Archuleta County,12056,12010,12114,12184,12210,12352
Baca County,3790,3810,3763,3682,3635,3615
Bent County,6509,6325,5812,5736,5773,5830
Boulder County,295986,300671,305548,310706,313864,319372
Broomfield County,56271,57445,58949,60163,61875,65065
Chaffee County,17803,18007,18104,18315,18459,18658
Cheyenne County,1831,1864,1879,1889,1854,1829
Clear Creek County,9083,9056,9070,9080,9171,9303
Conejos County,8292,8316,8277,8254,8268,8130
Costilla County,3527,3645,3601,3523,3552,3584
Crowley County,5853,5843,5416,5322,5613,5562
Custer County,4275,4223,4240,4262,4347,4445
Delta County,30878,30379,30444,30315,29955,29979
Denver County,603300,619374,633976,648411,663963,682545
Dolores County,2065,2031,1993,2028,1975,1978
Douglas County,286964,292593,298673,306368,314850,322387
Eagle County,52085,51772,51991,52484,53026,53605
Elbert County,23095,23267,23412,23690,24170,24735
El Paso County,626916,636946,645678,655150,662874,674471
Fremont County,46857,47420,47111,46441,46381,46692
Garfield County,56094,56005,56770,57066,57443,58095
Gilpin County,5461,5445,5455,5573,5722,5828
Grand County,14783,14544,14156,14264,14477,14615
Gunnison County,15379,15459,15475,15525,15727,16067
Hinsdale County,844,827,798,808,781,774
Huerfano County,6668,6516,6583,6488,6433,6492
Jackson County,1385,1383,1349,1358,1395,1356
Jefferson County,535625,539607,545817,551731,559042,565524
Kiowa County,1396,1457,1438,1419,1411,1423
Kit Carson County,8247,8200,8104,8025,7813,7758
Lake County,7267,7378,7283,7298,7367,7485
La Plata County,51371,51786,52307,53277,53850,54688
Larimer County,300524,305314,310970,316618,324657,333577
Las Animas County,15394,15024,14961,14399,14071,14058
Lincoln County,5469,5434,5441,5433,5508,5557
Logan County,22130,22107,21869,21676,21954,22036
Mesa County,146489,147372,147720,147676,147890,148513
Mineral County,704,711,710,721,695,726
Moffat County,13812,13427,13174,13116,12932,12937
Montezuma County,25548,25453,25427,25652,25799,26168
Montrose County,41194,40905,40705,40685,40832,40946
Morgan County,28172,28514,28344,28332,28246,28360
Otero County,18883,18864,18687,18535,18430,18343
Ouray County,4466,4455,4550,4578,4625,4691
Park County,16262,16080,16019,16077,16260,16510
Phillips County,4463,4373,4384,4359,4391,4349
Pitkin County,17156,17127,17225,17360,17599,17787
Prowers County,12562,12497,12397,12278,12049,11954
Pueblo County,159520,160187,160816,161240,161759,163591
Rio Blanco County,6669,6778,6790,6742,6681,6571
Rio Grande County,12018,11923,11895,11751,11611,11543
Routt County,23450,23256,23240,23489,23917,24130
Saguache County,6136,6190,6319,6229,6199,6251
San Juan County,708,697,695,699,719,701
San Miguel County,7359,7480,7584,7654,7782,7879
Sedgwick County,2370,2373,2374,2346,2334,2399
Summit County,28065,27965,28245,28783,29451,30257
Teller County,23450,23330,23373,23234,23378,23385
Washington County,4801,4809,4737,4778,4786,4864
Weld County,254166,258704,264117,270368,276379,285174
Yuma County,10025,10163,10130,10230,10257,10146
Connecticut,3579717,3589759,3593541,3597168,3594762,3590886
Fairfield County,919744,929013,935238,941793,945816,948053
Hartford County,895303,896928,897149,897926,896871,895841
Litchfield County,189773,188945,187455,186609,184910,183603
Middlesex County,165628,166198,165508,165301,164757,164063
New Haven County,863401,863977,863921,862515,861238,859470
New London County,274067,273211,274394,273716,272743,271863
Tolland County,153208,153069,151934,151722,151597,151420
Windham County,118593,118418,117942,117586,116830,116573
Delaware,899791,907916,917099,925353,935968,945934
Kent County,162990,165242,167611,169385,171773,173533
New Castle County,538911,542349,546211,549529,553347,556779
Sussex County,197890,200325,203277,206439,210848,215622
Florida,18849890,19105533,19352021,19594467,19905569,20271272
Alachua County,247625,249688,251669,253252,256518,259964
Baker County,27076,27076,27052,26991,27135,27420
Bay County,169247,169647,171920,174859,178703,181635
Bradford County,28539,28477,27133,26895,26681,26928
Brevard County,543966,544323,547495,551148,556902,568088
Broward County,1753263,1787582,1818491,1843583,1869679,1896425
Calhoun County,14632,14766,14706,14632,14511,14462
Charlotte County,159947,159641,162831,164892,168437,173115
Citrus County,141266,139755,139256,138985,139217,141058
Clay County,191436,192340,194341,196559,199876,203967
Collier County,322683,327742,332515,339537,348355,357305
Columbia County,67571,67307,67911,67542,67923,68348
DeSoto County,34921,34671,34808,34692,35157,35458
Dixie County,16402,16349,16060,15946,15897,16203
Duval County,865785,872455,880959,887586,899353,913010
Escambia County,298165,299653,304191,307753,309034,311003
Flagler County,96078,97349,98580,100035,102561,105392
Franklin County,11535,11495,11629,11556,11699,11761
Gadsden County,47792,47325,46560,46053,46147,46036
Gilchrist County,16994,16986,16878,16921,16977,17199
Glades County,12938,13134,12978,13098,13479,13670
Gulf County,15814,15665,15669,15790,15932,15871
Hamilton County,14672,14598,14708,14324,14051,14295
Hardee County,27738,27645,27391,27362,27441,27502
Hendry County,39040,38820,37671,37730,38476,39119
Hernando County,172970,172838,173047,174016,175704,178439
Highlands County,98665,98284,97998,97762,98104,99491
Hillsborough County,1233831,1271399,1281606,1294039,1318325,1349050
Holmes County,19859,19823,19730,19648,19650,19324
Indian River County,138233,138979,140640,142021,144772,147919
Jackson County,49616,49121,48977,49006,48796,48599
Jefferson County,14747,14497,14196,14182,14035,14081
Lafayette County,8814,8818,8813,8854,8859,8663
Lake County,297847,299811,303372,308010,315736,325875
Lee County,620532,631368,644865,660929,679233,701982
Leon County,276042,278307,283849,282209,284064,286272
Levy County,40721,40243,39938,39582,39508,39832
Liberty County,8339,8227,8244,8308,8363,8331
Madison County,19231,19092,18915,18711,18521,18408
Manatee County,323429,327320,333954,342229,351771,363369
Marion County,331421,332272,334094,335688,338749,343254
Martin County,146979,147647,148913,151550,153538,156283
Miami-Dade County,2508171,2580077,2611183,2641928,2668903,2693117
Monroe County,73213,74067,74835,76265,76858,77482
Nassau County,73528,74142,74616,75599,76597,78444
Okaloosa County,180757,183208,190207,193458,195650,198664
Okeechobee County,40027,39424,39260,39006,39114,39469
Orange County,1148823,1170461,1202506,1227607,1256495,1288126
Osceola County,269825,278903,289363,300124,311965,323993
Palm Beach County,1324171,1338500,1358396,1375826,1398518,1422789
Pasco County,465474,466523,470618,475751,485640,497909
Pinellas County,916440,917730,921999,929683,938144,949827
Polk County,603192,609544,615584,622895,635264,650092
Putnam County,74238,73912,73065,72442,72040,72023
St. Johns County,191258,196019,202241,209532,218043,226640
St. Lucie County,278264,280764,283525,286223,290957,298563
Santa Rosa County,152953,155719,158374,160726,163244,167040
Sarasota County,379937,381485,386028,390105,397024,405549
Seminole County,423070,427037,431360,436654,442533,449144
Sumter County,94279,98581,102781,108253,114000,118891
Suwannee County,42315,43334,43480,43584,43818,43760
Taylor County,22573,22682,22748,22898,22603,22493
Union County,15534,15235,15238,15081,15168,15234
Volusia County,494610,494489,497123,501367,507729,517887
Wakulla County,30835,30938,30804,30965,31399,31535
Walton County,55248,55642,57299,59425,61559,63508
Washington County,24754,24582,24835,24605,24435,24687
Georgia,9713454,9812280,9917639,9991562,10097132,10214860
Appling County,18328,18440,18366,18349,18477,18454
Atkinson County,8360,8358,8240,8272,8203,8398
Bacon County,11082,11188,11179,11198,11248,11299
Baker County,3435,3317,3367,3324,3274,3180
Baldwin County,45702,45096,46458,46138,45822,45459
Banks County,18409,18336,18235,18299,18313,18495
Barrow County,69692,69869,70197,71435,73190,75370
Bartow County,100139,100292,100525,101322,101795,102747
Ben Hill County,17633,17590,17532,17445,17417,17403
Berrien County,19342,19348,19074,18993,18717,18963
Bibb County,155586,155763,156123,154553,153918,153721
Bleckley County,13041,13053,12903,12739,12794,12243
Brantley County,18456,18570,18541,18284,18408,18455
Brooks County,16263,15954,15526,15627,15421,15658
Bryan County,30403,31254,32284,33158,33921,35137
Bulloch County,70639,72853,72853,71358,72217,72651
Burke County,23341,23545,23115,22918,22714,22745
Butts County,23742,23564,23458,23214,23394,23593
Calhoun County,6704,6537,6487,6512,6431,6479
Camden County,50670,50312,51368,51469,51973,52102
Candler County,11025,11312,11135,10942,10879,10886
Carroll County,110698,110691,111408,112331,113999,114545
Catoosa County,64038,64873,65012,65343,65598,66050
Charlton County,12837,13422,13320,13056,12886,12965
Chatham County,265896,271866,276536,278105,282989,286956
Chattahoochee County,11178,11309,12598,12396,11898,11368
Chattooga County,25958,25678,25639,25073,24892,24922
Cherokee County,215195,217716,220779,224603,230720,235900
Clarke County,117469,118462,120217,121121,120814,123912
Clay County,3161,3150,3101,3032,3097,3141
Clayton County,259797,262685,266338,265021,268172,273955
Clinch County,6780,6745,6714,6787,6816,6893
Cobb County,689676,697534,707846,717935,731018,741334
Coffee County,42723,42955,43081,43078,42793,43108
Colquitt County,45641,45811,46107,46307,46051,45844
Columbia County,124985,128773,132575,136278,139343,144052
